Code,Name
24 00100,Allegany & Garrett Counties--Cumberland City PUMA
24 00200,Washington County--Hagerstown City PUMA
24 00301,Frederick County (Outside Greater Frederick City) PUMA
24 00302,Frederick County (Central)--Greater Frederick City PUMA
24 00400,Carroll County PUMA
24 00501,Baltimore County (Outer) PUMA
24 00502,"Baltimore County--Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA"
24 00503,"Baltimore County--Pikesville (South), Lochearn, Cockeysville & Mays Chapel PUMA"
24 00504,"Baltimore County--Towson (East & Central), Parkville & Carney PUMA"
24 00505,"Baltimore County--Perry Hall, Middle River & Rosedale PUMA"
24 00506,"Baltimore County--Dundalk, Essex & Edgemere PUMA"
24 00507,"Baltimore County--Catonsville, Woodlawn & Arbutus PUMA"
24 00601,"Harford County (North & West)--Bel Air Town, Fallston & Jarrettsville PUMA"
24 00602,Harford County (South & East)--Aberdeen & Havre de Grace Cities PUMA
24 00700,Cecil County PUMA
24 00801,"Baltimore City--Sandtown-Winchester, Ashburton & Mount Washington PUMA"
24 00802,"Baltimore City--Guilford, Roland Park & Druid Lake PUMA"
24 00803,"Baltimore City--Frankford, Belair-Edison & Loch Raven PUMA"
24 00804,"Baltimore City--Inner Harbor, Canton & Bayview PUMA"
24 00805,"Baltimore City--Irvington, Ten Hills & Cherry Hill PUMA"
24 00901,Howard County (West)--Columbia (West) & Ellicott City (Northwest) PUMA
24 00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA"
24 01001,"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA"
24 01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA
24 01003,"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA"
24 01004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda PUMA"
24 01005,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA"
24 01006,"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA"
24 01007,Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA
24 01101,Prince George's County (Northwest)--College Park City & Langley Park PUMA
24 01102,"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA"
24 01103,Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA
24 01104,"Prince George's County (Central)--Seat Pleasant City, Capitol Heights Town & Landover PUMA"
24 01105,"Prince George's County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA"
24 01106,"Prince George's County (South)--Clinton, Fort Washington (South), Rosaryville & Croom PUMA"
24 01107,"Prince George's County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills PUMA"
24 01201,"Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade PUMA"
24 01202,"Anne Arundel County (North)--Glen Burnie, Pasadena, Ferndale & Brooklyn Park PUMA"
24 01203,"Anne Arundel County (Central)--Severna Park, Arnold & Lake Shore PUMA"
24 01204,"Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater PUMA"
24 01300,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA"
24 01400,"Wicomico, Worcester & Somerset Counties--Salisbury City PUMA"
24 01500,St. Mary's & Calvert Counties PUMA
24 01600,Charles County--La Plata Town & Waldorf PUMA
